"Номер заказа","Клиент","Телефон","Email","Сумма","Статус","Дата","Адрес","Товары"
"#0002471383","","","","1","delivered","2025-06-27","",""
"#0002493645","","","","4","delivered","2025-06-27","",""
"#0002488420","","","","1","delivered","2025-06-27","",""
"#0002495051","","","","1","delivered","2025-06-27","",""
"#0002413681","","","","8","delivered","2025-06-30","",""
"#0002492538","","","","1","delivered","2025-06-30","",""
"1","Admin","7777777777777777777777777777","","20","delivered","2025-06-30","",""
"2","Admin","7777777777777777777777777777","","16","delivered","2025-07-01","",""
"3","Admin","7777777777777777777777777777","","2e+209","cancelled","2025-07-01","",""
"4","Admin","7777777777777777777777777777","","492","pending","2025-07-21","",""
"5","Admin","7777777777777777777777777777","","0","pending","2025-07-21","",""
"6","Admin","7777777777777777777777777777","","984","pending","2025-07-21","",""
"7","Дмитрий","+79026173094","","381703","pending","2025-07-21","",""
"8","admin1@admin.ad","admin1@admin.ad","","0","pending","2025-07-21","",""
